Fortune  Rank (2018),Company Name,Ticker Symbol,Fortune Rank (2017),Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
1,Walmart,WMT,1,"$500,343",3.0%,"$9,862.0",-27.7%,"$204,522","$263,563","2,300,000",C. Douglas McMillon,"President, Chief Executive Officer & Director",Retailing,General Merchandisers,"Bentonville, Ark.",http://www.stock.walmart.com,24,http://fortune.com/fortune500/walmart/
2,Exxon Mobil,XOM,4,"$244,363",17.4%,"$19,710.0",151.4%,"$348,691","$316,157","71,200",Darren W. Woods,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"Irving, Texas",http://www.exxonmobil.com,24,http://fortune.com/fortune500/exxon-mobil/
3,Berkshire Hathaway,BRK.A,2,"$242,137",8.3%,"$44,940.0",86.7%,"$702,095","$492,008","377,000",Warren E. Buffett,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),Omaha,http://www.berkshirehathaway.com,24,http://fortune.com/fortune500/berkshire-hathaway/
4,Apple,AAPL,3,"$229,234",6.3%,"$48,351.0",5.8%,"$375,319","$851,318","123,000",Timothy D. Cook,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Cupertino, Calif.",http://www.apple.com,24,http://fortune.com/fortune500/apple/
5,UnitedHealth Group,UNH,6,"$201,159",8.8%,"$10,558.0",50.5%,"$139,058","$207,080","260,000",David S. Wichmann,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",http://www.unitedhealthgroup.com,24,http://fortune.com/fortune500/unitedhealth-group/
6,McKesson,MCK,5,"$198,533",3.1%,"$5,070.0",124.5%,"$60,969","$29,067","64,500",John H. Hammergren,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,San Francisco,http://www.mckesson.com,24,http://fortune.com/fortune500/mckesson/
7,CVS Health,CVS,7,"$184,765",4.1%,"$6,622.0",24.5%,"$95,131","$63,114","203,000",Larry J. Merlo,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",http://www.cvshealth.com,24,http://fortune.com/fortune500/cvs-health/
8,Amazon.com,AMZN,12,"$177,866",30.8%,"$3,033.0",27.9%,"$131,310","$700,668","566,000",Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer",Retailing,Internet Services and Retailing,Seattle,http://www.amazon.com,17,http://fortune.com/fortune500/amazon-com/
9,AT&T,T,9,"$160,546",-2.0%,"$29,450.0",127.0%,"$444,097","$218,946","254,000",Randall L. Stephenson,"Chairman, President & Chief Executive Officer",Telecommunications,Telecommunications,Dallas,http://www.att.com,24,http://fortune.com/fortune500/att/
10,General Motors,GM,8,"$157,311",-5.5%,"$-3,864.0",-141.0%,"$212,482","$50,972","180,000",Mary T. Barra,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,http://www.gm.com,24,http://fortune.com/fortune500/general-motors/
11,Ford Motor,F,10,"$156,776",3.3%,"$7,602.0",65.4%,"$257,808","$44,244","202,000",James P. Hackett,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, Mich.",http://www.corporate.ford.com,24,http://fortune.com/fortune500/ford-motor/
12,AmerisourceBergen,ABC,11,"$153,144",4.3%,$364.5,-74.5%,"$35,317","$18,938","19,500",Steven H. Collis,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,"Chesterbrook, Pa.",http://www.amerisourcebergen.com,24,http://fortune.com/fortune500/amerisourcebergen/
13,Chevron,CVX,19,"$134,533",25.1%,"$9,195.0",,"$253,806","$217,845","51,900",Michael K. Wirth,Chairman & Chief Executive Officer,Energy,Petroleum Refining,"San Ramon, Calif.",http://www.chevron.com,24,http://fortune.com/fortune500/chevron/
14,Cardinal Health,CAH,15,"$129,976",6.9%,"$1,288.0",-9.7%,"$40,112","$19,726","40,400",Michael C. Kaufmann,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Health Care,"Dublin, Ohio",http://www.cardinalhealth.com,24,http://fortune.com/fortune500/cardinal-health/
15,Costco,COST,16,"$129,025",8.7%,"$2,679.0",14.0%,"$36,347","$82,687","182,000",W. Craig Jelinek,"President, Chief Executive Officer & Director",Retailing,General Merchandisers,"Issaquah, Wash.",http://www.costco.com,24,http://fortune.com/fortune500/costco/
16,Verizon,VZ,14,"$126,034",,"$30,101.0",129.3%,"$257,143","$197,497","155,400",Lowell C. McAdam,Chairman & Chief Executive Officer,Telecommunications,Telecommunications,New York City,http://www.verizon.com,24,http://fortune.com/fortune500/verizon/
17,Kroger,KR,18,"$122,662",6.4%,"$1,907.0",-3.4%,"$37,197","$20,828","449,000",W. Rodney McMullen,Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,Cincinnati,http://www.thekrogerco.com,24,http://fortune.com/fortune500/kroger/
18,General Electric,GE,13,"$122,274",-3.5%,"$-5,786.0",-165.5%,"$377,945","$117,054","313,000",John L. Flannery Jr.,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,Boston,http://www.ge.com,24,http://fortune.com/fortune500/general-electric/
19,Walgreens Boots Alliance,WBA,17,"$118,214",0.7%,"$4,078.0",-2.3%,"$66,009","$64,924","290,000",Stefano Pessina,Vice Chairman & Chief Executive Officer,Food & Drug Stores,Food and Drug Stores,"Deerfield, Ill.",http://www.walgreensbootsalliance.com,24,http://fortune.com/fortune500/walgreens-boots-alliance/
20,JPMorgan Chase,JPM,21,"$113,899",8.0%,"$24,441.0",-1.2%,"$2,533,600","$375,043","252,539",James Dimon,Chairman & Chief Executive Officer,Financials,Commercial Banks,New York City,http://www.jpmorganchase.com,24,http://fortune.com/fortune500/jpmorgan-chase/
21,Fannie Mae,FNMA,20,"$112,394",4.9%,"$2,463.0",-80.0%,"$3,345,529","$1,633","7,200",Timothy J. Mayopoulos,"President, Chief Executive Officer & Director",Financials,Diversified Financials,Washington,http://www.fanniemae.com,21,http://fortune.com/fortune500/fannie-mae/
22,Alphabet,GOOGL,27,"$110,855",22.8%,"$12,662.0",-35.0%,"$197,295","$719,124","80,110",Larry Page,Chief Executive Officer & Director,Technology,Internet Services and Retailing,"Mountain View, Calif.",http://www.abc.xyz,13,http://fortune.com/fortune500/alphabet/
