,age,company,desc,jcid,jkid,job_no,loc,query_date,query_time,title
0,2 days ago,Walmart,"2 years experience with ETL, data modeling, SQL, and programming languages such as Python and R. Analyzes and interprets third-party spending, case resolutions,...",822bc5d9a49270ea,1b40383fd862d403,1,"Bentonville, AR 72712",2018-10-29,20:48:18,Business Intelligence Analyst -LEG
1,2 days ago,Walmart,"Fluency in SQL, as well as an understanding of statistical analysis, and common pitfalls of data analysis....",822bc5d9a49270ea,27ec2b40b1200fe2,2,"San Bruno, CA 94066",2018-10-29,20:48:18,Product Analytics Manager
2,2 days ago,Walmart,"Position Description As a Software Engineer III for Walmart Labs, you'll be responsible for large-scale, e-commerce Web applications development, tools...",822bc5d9a49270ea,a3747a644aa53898,3,"Bentonville, AR 72712",2018-10-29,20:48:18,Software Engineer III
3,2 days ago,Walmart,Position Description In this role you will · Act as a thought leader to identify right problems to solve for our customers · Design and implement state of...,822bc5d9a49270ea,25492a3d97275785,4,"Sunnyvale, CA",2018-10-29,20:48:18,Search/Relevance - Staff Data Scientist
4,2 days ago,Walmart,"Experience in RESTful Services, RDBMS, NoSql, Python, NodeJs, AngularJS, Java. Come join an organization where you'll get to work as part of a world-class team,...",822bc5d9a49270ea,47a8e7b1fc47f6a7,5,"Sunnyvale, CA",2018-10-29,20:48:18,Staff Software Engineer
5,2 days ago,Walmart,"3 years experience with SQL Server 2008 or related program. JavaScript, CSS, XML, XHTML, HTML, SQL/ T-SQL, Core Java, Node.js, React.Js, Angular JS, NodeJS,...",822bc5d9a49270ea,69fb8ae77baea3c0,6,"Reston, VA",2018-10-29,20:48:18,Sr Software Engineer-Tchnlgy
6,2 days ago,Walmart,"9 years experience with SQL and relational databases (for example, DB2, Oracle, SQL Server). Consults with business stakeholders on data-based insights....",822bc5d9a49270ea,56876f400ca02c07,7,"Sunnyvale, CA",2018-10-29,20:48:18,"Senior Director, Change Management & Communications"
7,2 days ago,Walmart,"Experience in RESTful Services, RDBMS, NoSql, Python, NodeJs, AngularJS, Java. Come join an organization where you'll get to work as part of a world-class team,...",822bc5d9a49270ea,64efb70b479d8044,8,"Sunnyvale, CA",2018-10-29,20:48:18,Senior Software Engineer
8,3 days ago,Walmart,"5 years experience writing SQL queries in a database platform (for example, Oracle, DB2, Teradata, SQL Server)....",822bc5d9a49270ea,6eb9562c992b51b4,9,"Bentonville, AR 72712",2018-10-29,20:48:18,Software Engineer 3-Tchnlgy
9,3 days ago,Walmart,"1 year experience with financial software (for example, SAP, ERP, Essbase, SQL). Communicates accounting impacts, issues, and strategic directions....",822bc5d9a49270ea,a6e6a0b57bcd491a,10,"Thomasville, GA 31792",2018-10-29,20:48:18,"Sr. Manager - Plant Controller (Thomasville, GA)"
10,Just posted,ExxonMobil,Tieto’s Energy Components (EC) application is used throughout the ExxonMobil Upstream business to support Volumetric Allocation and Entitlements workflows....,1ddb91d85c72e885,aa0e47857ea36d4a,1,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,Energy Components Analyst
11,3 days ago,ExxonMobil,"• Expert in at least one major programming language (C/C++, C#, Java, Python, etc.). ExxonMobil is looking for a mathematical optimization scientist with...",1ddb91d85c72e885,b2d29fb026beb382,2,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,Mathematical Optimization Research Scientist
12,3 days ago,ExxonMobil,"Experience in Python, MATLAB, or R is required. Research Data Scientist....",1ddb91d85c72e885,4720583a22ff3e47,3,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,Research Data Scientist
13,4 days ago,ExxonMobil,"Visual Studio .NET, SQL Server Management Studio, SQL Server Data Tools. SQL Server (ETL, Development in Stored Procedures / Trigger, working with large amount...",1ddb91d85c72e885,30499d1f22003c3c,4,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,Law Application Support Analyst
14,6 days ago,ExxonMobil,"Accounting, Database, SQL, Finance, Technology. Perform complex ad-hoc data extracts using MS SQL. Proficient with MS SQL database query optimization, in-depth...",1ddb91d85c72e885,40a226b5018304de,5,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,XTO IT Production Accounting Analyst
15,6 days ago,ExxonMobil,"Understanding ETL and SLT jobs/coding. Experience developing ETL architecture, principles and standards. 5+ years experience with ETL and SLT coding....",1ddb91d85c72e885,43a35bd226895b7d,6,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,Interoperability Engineer
16,6 days ago,ExxonMobil,"Proficient with SQL Server and Oracle. Business Analyst, Database, Oracle, SQL, Finance, Technology. Provide technical support, data management, end-user...",1ddb91d85c72e885,3e9e06379559febd,7,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,XTO IT Business Analyst
17,6 days ago,ExxonMobil,"Python, C#, VB.NET, JavaScript, Angular, HTML5, CSS3, AJAX, ASP.NET, REST APIs, Web Services, MVC 4.5, WPF, WebForms, Bootstrap....",1ddb91d85c72e885,9931d8e20ddffbf7,8,"Houston, TX 77046 (Montrose area)",2018-10-29,20:48:19,UX Research Designer
18,7 days ago,ExxonMobil,"Analytics, Engineer, Database, SQL, Project Manager, Management, Engineering, Technology. Outstanding skills in various analytical domains including programing...",1ddb91d85c72e885,40599e00a3811c58,9,"Spring, TX",2018-10-29,20:48:19,Analytics Innovation Advisor
